Vmag,Plx,e_Plx,B-V,SpType
7.72,3.82,0.63,1.147,K0III
6.2,26.8,0.77,0.402,F5V
7.05,21.86,0.61,0.735,K0
10.4,11.92,1.96,0.806,G0
6.56,5.97,0.86,1.036,K0III
9.22,15.96,1.41,0.768,K0
7.02,4.9,0.52,1.399,K3III
5.92,3.95,0.52,-0.114,B5III
8.55,4.14,0.76,-0.062,B9V
9.34,6.71,1.04,0.824,G8IV
6.26,10.67,1.06,1.179,K0III
7.22,32.24,0.84,0.745,K1IV
6.87,4.97,0.78,0.003,A0
7.54,9.48,1.04,0.323,F0
9.12,6.46,0.97,0.563,G0V
5.8,10.0,0.86,0.007,A1V
6.99,9.05,0.7,0.134,A2
7.46,19.47,1.03,0.612,G0
8.98,5.29,0.72,0.347,F0
10.34,16.92,1.95,1.11,K5
8.02,8.51,1.03,0.216,A3
7.62,11.22,1.11,0.401,F2
6.79,2.87,0.47,-0.111,B3V
7.01,7.25,0.88,1.212,K1III
6.69,21.73,0.57,0.428,F3
7.27,4.42,0.61,1.212,K1III
6.04,17.22,0.89,0.332,F3IV
7.86,6.54,1.08,0.873,G8III
7.74,9.13,1.03,0.285,F0
8.35,13.76,1.11,0.63,G5
6.84,8.42,0.55,0.436,F
8.24,8.11,1.0,0.364,F2
7.67,6.97,0.98,0.308,F3
8.02,4.26,0.76,1.117,K0
6.58,2.95,0.47,-0.156,B5V
6.68,6.19,0.8,0.003,A0
7.32,45.95,1.01,0.791,G5
6.41,15.93,0.65,0.752,G5V
7.31,6.48,0.7,1.004,K1III
5.47,20.63,0.71,0.207,A2
7.63,6.06,0.99,0.194,A2
8.06,7.02,1.23,0.476,F8
8.93,19.37,1.36,0.801,K0
8.83,6.21,1.13,0.301,A5
5.01,3.72,0.48,1.304,K1
5.76,10.17,0.75,0.051,A2V
9.74,10.14,1.98,0.771,G5
7.94,4.02,0.76,1.34,K3III
8.83,14.5,1.12,0.686,G5V
7.6,12.26,0.57,0.407,F2V
6.75,6.8,0.77,0.202,A0
7.5,11.21,0.8,1.031,K0
10.28,27.31,1.86,1.24,K5V
8.3,6.95,1.24,0.721,G5
7.47,19.03,1.14,0.513,F8
8.09,4.06,0.72,-0.009,A0V
7.24,7.11,0.86,1.245,K2III
8.02,3.74,0.67,1.581,M0III
6.94,6.56,0.98,0.956,G5
7.06,3.79,0.5,-0.109,B7V
6.7,4.11,0.59,1.355,K3III
6.44,27.53,0.56,0.578,G1V
8.38,6.05,0.69,0.494,F5III
5.27,3.39,0.45,-0.133,B3V
6.55,5.57,0.91,0.681,G0III
4.84,14.21,0.45,0.981,K0III
8.33,5.74,0.9,0.493,F5
7.57,4.99,0.56,1.13,K0III
6.35,5.92,0.94,1.023,G9III
8.81,4.6,0.78,0.098,A1V
8.74,35.84,1.21,0.923,K2V
5.72,12.15,0.85,-0.004,A1
5.95,3.89,0.64,0.393,A1V
8.5,5.64,0.98,0.397,F3V
7.89,7.27,1.03,0.241,F0
7.47,13.45,0.61,0.441,F5V
8.68,7.22,1.08,0.328,A2
7.41,19.59,0.63,0.462,F5IV
7.48,7.01,1.01,0.155,AV
7.13,5.36,0.68,1.135,K0III
8.52,12.27,1.24,0.445,G5
7.92,4.65,0.93,1.057,K0
8.03,5.0,0.74,0.328,A7
5.91,37.68,1.41,0.53,F8V
7.25,42.71,4.61,0.71,G5V
7.36,5.37,1.06,1.638,M
5.79,6.99,0.44,-0.132,B8
7.06,17.52,0.53,0.427,F3V
8.9,10.16,1.32,0.637,G0
8.15,6.71,1.01,0.85,G5
8.1,11.73,1.04,0.533,F8
6.33,12.23,0.95,0.338,F0IV
8.27,4.38,0.61,0.013,B9V
8.81,6.32,1.14,0.275,F0
7.87,4.24,0.7,0.129,A2IV
6.97,11.45,0.52,0.485,F6IV
6.98,13.08,0.89,0.188,A2
7.47,7.11,1.13,0.142,A
8.9,18.85,1.01,0.806,K0V
6.87,5.97,0.58,-0.061,B7
6.69,6.96,0.64,1.086,K1III
8.09,5.06,0.66,1.109,K1III
8.42,8.58,0.65,0.437,F3V
7.96,7.71,1.08,0.453,F5V
8.08,27.38,0.77,0.782,G8
7.22,22.44,0.64,0.509,F7V
9.8,14.61,0.96,0.658,G5
9.28,71.96,1.26,1.417,M2
9.19,9.58,0.85,0.643,G3V
8.12,6.76,1.05,0.087,A0
8.83,5.73,0.8,0.509,F7V
11.84,26.34,3.29,1.241,M
8.26,15.47,0.95,0.489,F8
7.86,2.95,0.58,-0.05,B5V
7.39,5.96,1.14,0.324,A6V
7.28,15.27,0.55,0.389,F0V
9.17,20.08,1.4,0.757,G5
6.31,11.92,0.73,0.308,A2
8.73,24.04,2.97,0.779,K5
7.01,5.08,0.82,0.927,G8III
8.32,8.02,1.03,0.314,F0
9.57,10.01,1.24,0.627,G0
6.8,6.84,0.83,1.14,K0III
5.92,7.07,0.9,0.083,A3V
7.93,5.27,0.68,0.269,A6III
7.38,4.23,0.73,0.164,A2
7.83,6.56,0.62,0.085,A2V
7.79,15.15,1.43,0.402,F0
8.94,10.65,1.41,0.562,F8
7.29,22.49,0.62,0.54,F8
8.72,27.02,1.18,0.91,K1V
8.99,10.57,1.01,0.737,G6V
7.42,6.62,0.96,0.982,G5
5.45,9.74,0.5,1.013,K0III
6.53,36.4,0.57,0.598,G1V
6.63,7.05,0.86,0.833,G5
8.0,9.64,1.25,0.576,F8V
6.18,8.34,0.86,1.054,K0
8.4,6.97,0.91,0.281,A9V
7.61,17.16,0.95,0.427,K0III
6.51,16.79,0.56,0.32,F0IV
7.91,6.44,0.87,0.955,K0III
6.7,10.25,0.84,0.284,F2III
4.14,18.21,0.88,0.003,A1V
7.78,7.8,1.02,1.092,K0
6.72,5.1,1.02,0.193,A5V
7.93,6.97,1.06,0.323,A2
6.74,42.32,1.04,0.655,G0
5.24,13.49,0.73,-0.03,A0V
7.13,4.91,0.95,0.955,K0II
10.35,17.23,2.95,1.586,K6
9.22,15.99,1.56,0.782,G5
6.62,7.01,0.55,0.265,A6
7.02,20.69,0.84,0.516,F5
9.43,20.03,1.31,0.0,K0
8.01,19.58,1.3,0.626,G5
6.58,8.92,0.87,-0.044,A0
6.54,8.74,0.9,-0.01,A1V
7.54,22.99,0.91,0.632,G5
8.92,9.58,1.45,0.432,F3IV
7.6,5.61,0.9,0.218,F0
5.96,8.88,0.79,1.111,K2III
9.55,12.1,1.1,0.728,G5
7.24,6.51,0.96,1.044,K0
9.38,27.56,1.29,1.034,K0
5.66,13.55,0.71,0.964,G8IV
7.66,7.02,0.61,0.076,A1V
8.23,9.68,1.08,0.274,A2
6.72,2.72,0.54,1.593,K4III
8.11,9.07,1.18,0.413,F5
8.03,5.47,1.09,0.306,A5
6.82,8.48,0.56,1.048,K0IV
6.45,6.46,0.49,-0.1,B8V
9.67,29.73,1.55,1.112,K3
4.45,9.25,0.94,1.216,K2III
6.89,28.52,0.95,0.547,F8
9.4,9.05,1.41,0.505,F8
8.19,23.74,1.13,0.698,G5
7.17,7.01,0.97,0.066,A0
9.35,5.76,0.85,0.506,F5V
8.33,5.19,0.82,0.435,F2IV
6.34,5.61,0.8,1.319,K0
7.9,39.28,1.21,0.897,K0
8.06,6.41,0.96,0.135,A3V
7.41,5.96,0.88,0.441,F3
5.19,13.64,0.5,0.013,A0V
5.05,50.2,0.98,0.72,G3
6.47,9.05,0.73,0.035,A2V
5.63,70.07,0.71,0.618,G1
6.35,7.46,0.64,-0.002,A0V
8.23,10.31,1.11,0.962,G5
8.47,5.52,0.74,0.22,A7V
9.22,10.45,1.32,0.528,G0
5.91,8.21,0.8,1.167,K1III
7.28,7.42,0.64,0.16,A2V
6.12,24.86,0.55,0.426,F3
8.17,6.36,0.83,0.337,F0V
9.39,4.88,0.88,0.469,F5V
5.45,7.23,0.45,-0.132,B5V
6.46,5.92,0.93,1.08,K1III
7.37,5.22,0.9,0.065,A2
7.11,11.71,0.95,0.343,A2
8.18,10.3,1.08,0.509,F8
9.05,6.44,1.24,0.31,F2
8.91,10.98,1.38,0.651,G5
8.46,4.47,0.74,1.191,K2III
6.94,6.18,0.64,1.118,K0III
4.86,13.83,0.52,0.9,G5III
6.16,9.18,0.6,1.017,G7III
6.65,6.14,0.96,0.248,F0III
7.26,27.99,1.88,0.61,G1V
7.95,3.48,0.67,1.132,K0III
9.73,15.99,1.37,0.924,K1V
7.61,53.98,1.04,0.832,K1V
6.59,5.12,0.92,1.334,M6III
6.7,6.47,0.82,1.122,K0
5.18,7.61,0.46,-0.147,B4IV
6.78,3.14,0.48,-0.088,B8IV
9.2,8.61,1.01,0.545,G
9.9,32.63,1.76,1.361,M0
8.23,5.66,0.79,0.104,A2IV
4.98,7.78,0.82,1.415,K3III
7.34,9.39,0.55,0.275,A5IV
7.96,5.47,1.03,1.19,K1III
3.97,8.4,0.55,0.936,G5II
6.39,5.55,0.89,0.98,K0III
9.34,6.19,1.21,0.395,F5
7.46,3.38,0.58,-0.114,B9
6.61,5.72,0.84,0.006,A1V
4.59,12.92,0.71,1.179,K2III
6.6,12.32,0.97,0.899,K0
7.78,19.92,0.63,0.665,G5V
5.56,6.91,0.49,-0.125,B7V
3.6,6.59,0.51,-0.168,B3IV
6.21,9.31,0.81,0.401,F5III
8.09,18.56,0.62,0.578,F8V
5.2,11.63,0.57,-0.027,A
6.76,6.75,1.03,0.271,A9V
6.85,9.56,0.85,0.16,A3V
9.54,9.89,0.9,0.493,G0
7.79,5.67,0.96,1.155,K0
7.46,5.97,0.96,0.081,A1V
8.12,5.37,0.9,0.082,A0V
6.29,5.95,0.91,0.17,A
7.91,4.19,0.66,1.15,K1III
8.04,12.72,1.04,0.947,K0
6.74,8.22,0.87,1.071,K0
5.67,3.43,0.55,1.664,M0III
9.34,32.29,1.34,1.083,K2V
4.31,2.31,0.46,-0.117,B1
7.98,5.34,0.91,0.317,F0
8.0,23.81,1.01,0.675,G3V
6.88,4.78,0.89,0.958,G5
6.83,6.44,0.93,0.202,A9III
6.34,14.38,0.61,0.208,A3V
7.59,12.03,0.95,0.734,G5
8.13,4.09,0.63,0.287,A3IV
8.14,4.31,0.64,0.65,F8IV
8.27,8.43,1.02,0.42,F2
7.94,6.55,0.61,0.229,A4IV
8.83,7.4,0.76,0.485,F7V
9.67,7.26,1.32,0.431,F
8.74,11.03,1.03,0.517,G
7.73,5.43,0.99,0.288,A7III
7.82,6.1,1.07,0.296,F0
9.18,6.83,1.31,0.332,G5
6.77,5.46,0.93,0.169,A6V
10.53,37.51,1.35,1.36,M1V
5.35,18.11,0.76,0.993,G0IV
6.64,7.63,0.87,0.017,A1V
7.78,7.22,0.93,0.456,F6IV
8.61,6.07,0.99,0.548,F8
7.72,6.05,0.54,0.053,A0V
8.48,12.87,1.18,0.63,G5
6.71,5.54,0.49,-0.088,B8V
7.56,6.82,0.99,0.231,A6IV
8.24,9.16,0.68,0.509,F6V
8.37,7.8,1.14,0.617,F8
7.56,17.64,0.92,0.598,G0
7.55,5.85,0.94,0.107,A0
7.59,29.81,0.95,0.76,K0
5.46,10.32,0.43,-0.101,B9IV
8.11,6.23,1.06,0.531,F3IV
7.93,7.33,0.75,0.378,F2V
7.07,15.93,0.57,0.428,F3V
7.04,6.75,0.89,0.979,G8III
9.28,9.38,0.82,0.484,F8V
7.8,4.47,0.86,0.013,B9V
8.72,11.33,0.91,0.58,G0V
7.53,5.49,0.91,1.162,K0
4.87,15.98,0.8,1.063,K0III
7.9,6.33,1.01,0.405,F2
9.23,6.37,1.25,0.416,F3V
8.16,4.03,0.66,1.25,K2III
8.93,6.4,0.75,0.873,G8III
8.48,6.81,1.05,0.456,F5
7.9,11.94,0.99,0.348,F0
7.82,20.1,1.18,0.661,G3V
8.11,44.73,0.79,0.904,K2V
6.46,8.6,0.8,0.16,A5
7.38,6.47,0.59,0.015,A0V
7.9,7.64,1.07,0.21,A7V
8.67,4.07,0.69,0.211,A5V
7.3,3.62,0.64,-0.024,B9V
9.34,7.81,0.94,0.435,F5V
5.49,6.75,0.53,-0.127,B8
10.88,15.02,1.73,0.931,K2
6.26,9.86,0.48,1.178,K2III
7.86,3.55,0.67,-0.021,B9V
8.28,8.3,0.61,0.428,F2V
7.61,15.49,1.1,0.585,G0
4.83,6.8,0.46,-0.173,B3IV
10.33,18.55,1.21,1.044,K5
6.73,9.76,0.88,0.232,A0
8.86,9.59,1.35,0.645,G5
7.01,5.59,1.1,-0.046,B9
7.42,21.51,0.95,0.583,F8
9.7,9.95,1.38,0.741,G8V
9.62,74.95,13.82,1.4,M0
8.88,5.87,0.77,0.348,A9V
9.38,12.07,1.26,0.622,G1V
7.18,20.62,0.95,0.598,F8
6.92,12.93,0.57,0.274,A7III
8.61,4.05,0.81,1.357,K2III
8.63,13.95,1.2,0.5,G0V
6.95,4.13,0.63,0.012,A0
8.86,9.03,1.23,0.697,F8
11.83,64.56,3.92,1.55,M5
8.77,7.55,1.39,0.445,F2
8.84,7.9,1.17,0.297,A9III
8.12,4.58,0.65,0.205,A3
9.43,8.38,1.47,0.44,G0
6.9,9.23,0.93,0.166,A2
7.8,6.61,1.21,0.111,A0
7.88,17.12,1.04,0.574,G0
6.42,7.43,0.57,0.019,A0V
6.21,7.92,0.78,0.981,G8III
7.28,4.74,0.88,0.984,K0
8.52,8.64,1.28,0.574,G0
7.57,7.49,1.04,0.406,F3
8.58,4.19,0.79,0.213,A4IV
6.05,10.23,0.46,0.229,A7V
9.31,11.16,0.89,0.592,G2V
4.3,6.99,0.92,-0.192,B3V
7.75,9.8,0.67,0.471,F5
4.66,20.58,0.87,0.01,A1IV
6.58,89.78,0.56,0.917,K2V
8.75,6.78,1.24,0.366,F5
7.69,9.19,1.81,0.362,F0
6.85,3.91,0.5,-0.111,A
7.86,7.31,0.61,0.097,A1IV
7.06,8.38,0.89,1.048,K0
3.68,3.86,0.53,-0.18,B1
7.77,5.76,0.92,0.191,A5V
8.09,4.71,0.6,0.031,B9
7.73,7.54,0.94,0.285,F0
4.63,5.4,0.96,0.84,G2I
9.47,6.56,0.92,0.403,F2V
7.23,5.92,1.0,1.036,K0
8.36,12.09,1.11,0.574,F8
9.35,7.85,1.5,0.393,F8
8.86,15.85,0.85,0.64,G2V
8.18,3.8,0.61,0.032,B9
6.33,3.1,0.51,1.501,K3III
8.25,9.18,1.14,0.357,F5
9.4,5.99,0.99,0.594,G
8.48,8.36,1.12,0.5,G5
6.99,5.76,0.6,0.982,G8III
7.91,3.56,0.64,0.035,B9
8.52,5.92,0.92,0.18,A3V
8.04,4.51,0.82,0.418,F2IV
8.61,8.97,1.43,0.441,F5
7.3,5.69,0.93,0.166,A2
6.54,15.31,0.83,0.469,F7V
9.28,13.21,1.28,0.632,G3V
7.03,10.95,0.96,0.233,A2
8.63,5.5,1.03,0.394,F0
6.78,5.41,0.56,1.404,K3III
10.65,54.68,3.89,1.432,M2V
4.05,14.27,0.54,0.874,G5III
8.11,19.52,0.67,0.593,G2V
8.14,17.66,0.67,0.625,G0V
6.03,16.49,0.46,0.217,A9V
6.87,8.18,0.93,0.118,A0
8.12,4.47,0.82,1.001,G8IV
7.63,3.03,0.58,1.198,K1II
8.18,7.79,0.79,0.293,F0V
10.16,27.28,2.4,1.225,K7V
3.94,23.97,0.83,1.083,K0III
6.72,6.25,0.69,1.263,K3III
1.93,40.9,0.38,0.043,A1V
8.21,32.14,0.82,0.763,G8V
6.66,8.03,0.57,1.22,K2III
7.2,36.04,2.84,0.743,G5V
5.63,8.0,0.84,-0.069,A1
8.91,23.42,1.18,0.8,K0III
6.56,27.77,0.57,0.567,G3IV
7.6,14.69,1.22,0.518,F5
8.93,9.7,0.93,0.601,G0
6.1,12.78,0.75,0.195,A5V
7.16,3.89,0.71,0.036,A0V
6.13,15.78,0.9,0.2,A6V
7.99,12.64,0.96,0.491,F6V
6.89,14.73,0.67,0.325,F0V
8.96,12.96,1.3,0.613,G5
8.52,38.47,1.18,0.94,K3V
7.26,17.35,0.88,0.496,F5
8.11,10.72,1.29,0.753,G5
8.06,3.85,0.75,1.134,K0III
7.78,10.73,1.18,0.574,F8
8.19,7.75,1.14,0.996,G8III
6.12,6.84,0.76,0.935,G5III
6.55,9.07,0.97,1.008,G5
7.98,11.68,0.94,0.435,F4V
9.43,5.2,0.85,0.37,F2
8.51,6.01,1.13,0.312,A5
9.3,18.23,1.77,0.783,K0
6.77,15.95,0.86,0.39,F2
7.34,15.77,0.93,0.46,F2
8.24,14.69,0.79,0.604,G0
6.45,7.87,0.98,1.228,K0
9.09,23.1,2.05,0.976,F8
6.95,12.08,0.86,0.297,F0
6.85,6.18,0.92,0.059,A1V
8.2,3.97,0.66,1.079,K0III
7.65,3.53,0.59,-0.087,B8V
6.77,12.01,0.49,0.299,A8III
7.47,7.74,0.88,0.077,A0
6.07,9.14,0.72,0.084,A3IV
7.58,17.72,1.0,0.518,F8
9.4,10.93,1.3,0.502,F8
8.75,10.43,0.78,0.492,F8V
8.0,3.37,0.61,0.997,K0III
8.23,4.89,0.8,0.03,A1V
5.79,5.83,0.46,1.595,K5III
6.84,5.06,0.74,1.149,K1III
7.34,5.32,0.68,0.03,A2
6.99,5.7,0.53,0.837,G5
7.46,3.79,0.66,1.163,K1III
10.68,11.79,2.24,0.902,G5
9.08,7.14,0.75,0.595,G0IV
5.7,11.71,0.85,1.097,K0III
9.86,9.53,1.53,0.542,G5
7.49,6.33,1.09,1.379,K2
8.11,11.2,1.04,0.43,F3V
8.34,10.88,1.37,0.543,F8V
7.99,8.77,1.26,0.288,A2
7.29,9.63,1.0,0.943,K1IV
8.63,8.35,1.18,0.522,F8
7.8,19.37,1.37,0.637,G2V
9.97,16.24,1.1,0.807,G8
7.08,5.38,0.95,0.19,A5
7.13,7.91,0.89,0.073,A2
7.18,5.4,0.73,1.05,K1III
8.4,3.92,0.76,1.348,K2III
4.32,14.38,1.51,0.9,G8III
8.18,6.37,0.77,0.97,G8III
6.86,4.79,0.56,-0.003,A0
7.7,5.37,0.62,0.18,A5V
6.21,4.53,0.54,-0.05,B9V
7.34,9.87,1.01,0.515,F8
8.93,7.22,1.23,0.521,F8
8.2,6.99,1.06,0.23,A2
7.87,7.45,1.04,0.382,F5
9.27,8.67,1.13,0.617,G3V
7.07,6.81,0.85,0.008,B9
7.43,4.8,0.95,1.041,K0
8.43,3.7,0.73,1.169,K0III
7.73,4.99,0.81,1.064,G5
7.89,8.06,1.24,0.415,F2V
4.03,10.94,1.35,1.007,G8I
4.5,5.97,0.43,-0.169,B3V
7.15,7.41,0.57,0.988,K0III
6.6,6.32,0.86,1.032,K0III
3.38,24.13,1.29,0.685,G0III
6.33,3.64,0.59,-0.127,B3V
7.62,6.43,0.93,0.126,A1V
7.62,7.21,0.75,0.04,A1V
9.81,7.98,1.37,0.518,F8
5.89,16.38,1.16,0.12,A1V
8.78,6.68,1.14,0.598,G0V
6.6,3.26,0.6,-0.12,B4IV
6.6,18.84,0.84,0.676,G2IV
7.51,13.67,0.7,0.415,F2
9.71,5.76,1.14,0.538,F0
7.61,5.19,0.97,0.1,A0V
7.38,4.87,0.96,0.017,B9
8.21,7.22,0.65,0.481,F5V
7.8,11.64,0.67,0.625,G2V
5.28,9.61,0.89,0.058,A3V
8.69,6.58,1.22,0.376,F8
7.9,5.1,0.7,0.165,A2IV
7.83,7.33,1.24,0.213,A0
6.48,4.28,0.78,0.679,A2V
6.66,5.91,0.63,1.429,K4III
7.82,5.69,1.13,0.084,B9
9.84,15.17,1.65,0.96,K5V
9.4,7.77,1.42,0.335,F2
7.77,17.66,1.07,0.655,G0
6.35,34.55,0.56,0.578,G0I
6.96,4.54,0.84,-0.1,B2V
9.36,7.83,1.43,0.74,G5
7.82,9.26,0.91,0.47,F8
6.81,7.55,0.66,1.158,K1III
7.23,4.82,0.79,0.85,K1III
8.51,17.14,0.88,0.673,G3
8.77,7.43,0.74,0.43,F2V
8.34,9.61,1.41,0.411,F0
8.76,13.73,1.3,0.59,G0V
8.48,14.8,1.26,0.658,G0
6.29,7.02,0.5,-0.097,B8V
6.71,23.0,0.59,0.424,F5IV
7.66,4.96,0.69,0.375,F0
7.85,6.75,0.68,0.283,A2
8.21,4.01,0.63,1.267,K2III
9.02,6.61,1.26,0.199,A3
7.31,8.15,1.28,0.462,F5
6.42,4.23,0.68,1.364,M5III
8.58,7.64,1.27,0.536,F8
7.97,5.35,0.99,0.132,A2
8.01,14.33,2.67,0.564,F8
8.1,3.53,0.7,1.389,K3III
8.08,3.81,0.73,0.975,K0III
8.06,3.34,0.66,1.09,G8III
8.46,11.93,1.1,0.461,G0
7.1,5.43,0.64,1.151,K0III
8.58,13.64,1.14,0.568,F8
4.35,9.67,1.0,-0.044,A0V
10.35,38.73,4.93,1.296,M0
7.71,3.34,0.54,-0.05,B7IV
6.93,6.08,0.99,1.082,K0
7.68,4.29,0.7,1.09,K0III
6.42,7.12,0.83,1.142,K0
9.28,5.59,0.85,0.391,F5
7.89,12.31,2.27,0.451,F5
7.15,8.8,0.64,0.275,A
8.57,4.13,0.82,0.136,A0
6.2,6.34,0.67,-0.106,B8V
9.3,13.81,1.33,0.682,G3
7.62,6.52,1.06,0.495,F5
8.62,15.02,1.0,0.574,G0
10.99,24.29,2.43,1.36,M0
8.8,13.46,0.89,0.573,G0
8.19,3.92,0.66,-0.019,B9V
8.38,11.79,1.04,0.649,G1V
7.83,27.71,0.7,0.651,G5V
8.91,7.78,1.07,0.627,G0V
11.24,23.12,2.88,1.588,M1
7.45,33.5,1.05,0.689,G0
7.27,24.09,0.85,0.536,F7V
8.16,11.02,0.61,0.457,F5V
7.96,30.16,1.2,0.746,G5
5.3,7.45,0.74,-0.08,B9
9.94,28.89,1.55,1.091,K7V
8.39,11.28,1.07,0.576,G0
10.8,30.65,2.01,1.304,M0
8.66,3.51,0.7,0.047,B9IV
7.86,11.49,0.96,0.452,F3
9.6,8.85,0.87,0.59,F7IV
7.7,6.03,0.7,0.267,F0V
7.42,11.4,0.58,0.465,F3V
7.14,5.4,0.55,1.065,K0III
6.82,11.86,0.83,0.244,A5
7.45,4.5,0.69,0.016,B9
7.97,5.74,1.0,0.528,G0
6.48,12.47,0.8,0.256,A6IV
7.95,5.71,0.97,0.108,A0
4.94,3.94,0.57,0.043,A2III
6.67,11.56,0.93,1.065,K0
5.19,14.26,1.25,0.876,G8III
7.38,5.77,0.94,0.898,K0
6.38,12.82,0.58,0.249,A2
7.24,9.31,0.96,0.928,G5
7.15,23.77,0.66,0.503,F7V
8.31,5.72,1.02,0.311,F2
9.73,25.1,1.38,1.07,K8
8.14,4.43,0.83,1.12,K0III
8.4,7.51,1.22,0.892,K0
5.86,3.47,0.63,0.948,G8III
9.5,15.14,1.23,0.772,G5
9.2,13.48,0.79,0.691,G2V
8.01,6.47,0.71,0.561,K1III
7.55,3.95,0.65,0.264,F0IV
10.14,9.24,1.7,0.696,G0
9.76,7.38,1.43,0.527,G0
7.75,4.21,0.75,0.983,G8III
7.68,7.03,0.85,0.105,A1IV
7.5,6.88,0.89,0.98,K0III
9.18,18.78,1.48,0.735,G8V
6.17,8.87,0.6,-0.055,B9V
6.92,5.44,0.86,0.924,K0
4.02,15.63,0.58,1.272,K3III
6.22,34.86,0.86,0.549,F7V
7.99,5.96,1.09,0.184,A3
5.34,19.04,0.48,0.423,F5IV
7.02,9.26,0.93,0.3,A2
9.36,18.03,1.77,0.931,K0
6.86,17.24,1.83,0.592,F8
7.44,9.9,1.02,0.331,F0
8.71,12.07,1.12,0.497,F5
8.0,6.85,0.78,0.131,A2V
8.33,5.48,0.97,0.14,A1
8.63,13.5,1.15,0.481,F8
7.42,20.09,0.62,0.483,F2
8.71,10.89,0.84,0.5,F6V
8.53,14.29,0.75,0.574,G0
6.36,25.02,1.01,0.669,G2IV
8.58,4.25,0.73,1.28,K1
7.99,6.37,1.26,0.083,A0
7.65,7.67,0.9,0.13,A3V
7.9,5.39,0.64,0.001,A0IV
8.66,5.12,0.84,1.182,K1III
9.38,15.29,1.9,0.764,G
8.78,12.21,1.13,0.548,F8
8.01,7.19,1.07,0.554,F6V
8.62,24.55,1.08,0.696,G0
8.65,6.78,1.13,0.285,A5
8.78,10.44,0.8,0.705,G5V
7.75,4.78,0.73,0.004,B9V
6.54,9.2,0.57,0.043,A2V
7.16,17.67,0.53,0.545,F7V
9.55,14.1,0.91,0.544,G0
5.55,6.68,0.88,0.15,A4
5.59,4.55,0.43,-0.102,B8III
8.92,11.33,1.43,0.483,G0
8.15,11.26,1.07,0.449,F3V
6.69,2.64,0.47,-0.043,B6III
10.34,20.05,2.37,1.11,K8
8.35,6.95,0.95,0.505,F5V
8.87,13.31,1.18,0.59,G0
8.95,11.01,1.61,0.628,G2
8.4,9.48,1.07,0.451,F2
9.38,6.53,0.9,0.496,F5
6.49,2.93,0.56,-0.106,A
5.15,11.91,0.72,0.971,K0III
7.63,6.51,0.77,0.352,F0V
9.26,60.63,1.41,1.319,K5
7.88,3.7,0.66,-0.092,B8IV
7.2,8.03,1.52,0.171,A2
8.16,17.21,1.04,0.557,G2V
9.46,7.7,1.34,0.549,F8
7.08,5.97,0.9,1.032,K0
5.98,6.8,0.82,1.251,K0III
8.31,6.38,1.16,0.226,A3
10.49,20.56,2.17,0.93,K3
5.96,6.06,0.81,1.233,K0III
6.57,41.42,1.19,0.64,G0
7.64,13.52,0.89,0.498,F6
6.83,19.49,0.82,0.553,F8IV
7.21,2.72,0.5,-0.076,B6V
7.99,5.57,0.59,0.06,A1V
7.84,11.81,1.38,0.99,G5
6.79,7.05,0.54,0.014,A0V
6.49,4.04,0.69,1.451,K2
8.45,4.61,0.74,0.815,G6IV
6.12,9.65,0.88,1.142,K1III
7.79,3.65,0.67,1.363,K2III
5.67,16.01,0.91,0.224,A8V
5.96,79.8,0.84,0.869,G8V
5.92,3.0,0.52,-0.148,B3V
6.41,3.07,0.58,0.549,G8III
7.95,7.21,0.85,0.443,F8
6.39,7.19,0.7,0.003,A0V
7.69,3.7,0.71,0.986,K0III
9.03,7.51,1.18,0.486,G5
9.01,17.27,1.18,0.692,G5V
8.23,3.88,0.64,1.06,K0III
6.81,3.52,0.56,-0.034,B9IV
5.79,3.72,0.56,1.508,K5
7.59,4.64,0.76,1.08,K0III
7.35,8.13,0.94,1.091,K2
9.64,11.54,0.99,0.587,G3V
8.61,16.49,1.36,0.69,G0
6.02,11.01,0.45,-0.023,A0V
6.43,7.81,0.88,1.082,K1III
6.35,16.19,0.73,0.414,F5IV
6.92,28.08,0.85,0.498,F5
8.06,11.03,1.04,0.472,F3V
7.38,18.32,1.08,0.612,G0
7.09,13.88,0.87,0.609,G0
6.87,11.05,0.94,0.404,F2
8.52,7.45,1.06,0.273,F0
7.42,5.96,0.66,0.093,A1
5.72,11.45,0.66,0.305,F2III
8.02,5.99,1.16,1.163,K2
7.35,15.95,0.9,0.497,F7V
8.23,7.67,1.02,0.348,F
8.02,9.66,0.99,0.642,F8
7.06,7.97,0.93,0.189,A3
9.27,38.67,1.5,1.139,M0V
5.78,2.37,0.45,-0.088,B5III
8.46,24.66,1.34,0.766,G8V
5.31,12.49,0.52,0.275,A
8.03,12.41,1.08,0.626,G0
7.23,14.64,1.46,0.345,F0
8.7,7.27,1.26,0.421,F2
8.16,16.75,0.66,0.745,G8V
8.09,7.62,1.04,0.965,G8III
7.15,13.02,2.38,0.51,F8
9.83,8.86,1.53,0.814,G8III
8.19,6.66,1.08,0.435,F5
8.27,11.68,0.92,0.589,G0
7.45,3.86,0.62,1.293,K2III
8.6,10.07,1.28,0.479,F8
7.39,12.63,0.71,0.513,F6V
8.42,18.3,0.84,0.656,G5V
7.96,6.02,0.87,1.212,K2III
8.86,9.13,1.1,0.46,F8
7.59,11.08,0.94,0.38,F2
7.26,6.21,0.78,1.052,G6
