Vmag,Plx,e_Plx,B-V,SpType
6.47,42.67,0.85,0.674,G0V
8.36,16.71,0.99,0.591,G0V
6.1,4.71,0.78,-0.074,B8V
6.33,8.56,0.68,1.21,K2III
8.72,6.37,0.9,0.923,K0III
8.16,8.04,1.0,0.553,F5
8.76,8.52,1.23,0.442,F3V
9.46,9.37,1.23,0.698,G5V
7.7,5.77,0.79,0.349,F0
7.83,8.25,0.91,0.198,A5
9.16,7.72,1.4,0.448,F3V
9.9,48.17,1.73,1.318,K7V
9.21,6.68,1.15,0.707,G0
9.58,12.22,1.01,0.625,G3V
8.19,14.21,1.07,0.657,F8
7.93,11.65,0.97,0.398,G0
8.36,5.97,1.06,0.92,K0
7.31,3.38,0.64,1.059,K0
7.26,3.93,0.76,0.049,B9V
8.12,18.95,0.99,0.661,G3V
8.05,3.69,0.73,0.1,A0
3.56,11.26,0.73,1.214,K2III
7.95,11.36,1.08,0.818,G8IV
8.49,13.16,1.04,0.575,F8V
7.03,21.59,0.98,0.508,F5
8.75,14.55,0.84,0.594,G1V
6.35,6.03,0.77,1.179,K1III
8.29,7.44,1.19,1.096,G8IV
7.97,16.31,0.82,0.552,G0IV
6.96,8.61,0.98,0.848,G5
8.7,6.06,1.15,0.42,F0
6.6,5.9,0.79,0.979,K0
7.62,7.38,0.98,0.986,G5
7.45,6.19,0.92,1.125,K1III
6.97,40.25,0.81,0.64,G0
4.23,116.38,0.64,0.576,F9V
6.53,3.69,0.73,0.051,A0V
6.85,8.21,0.91,1.028,G8III
8.96,8.7,1.25,0.495,F8
9.83,14.46,1.29,0.837,K1V
